Date,Average
2015-08-02,25.0
2015-08-03,25.0
2015-08-04,25.0
2015-08-05,25.0
2015-08-06,25.0
2015-08-07,25.0
2015-08-08,25.0
2015-08-09,27.0
2015-08-10,28.0
2015-08-11,28.0
2015-08-12,28.0
2015-08-13,29.0
2015-08-14,27.0
2015-08-15,27.0
2015-08-16,28.0
2015-08-17,28.0
2015-08-18,28.0
2015-08-19,31.0
2015-08-20,31.0
2015-08-21,31.0
2015-08-22,31.0
2015-08-23,31.0
2015-08-24,32.0
2015-08-25,32.0
2015-08-26,34.0
2015-08-27,34.0
2015-08-28,32.0
2015-08-29,25.0
2015-08-30,27.0
2015-08-31,35.0
2015-09-01,35.0
2015-09-02,35.0
2015-09-03,30.0
2015-09-04,31.0
2015-09-05,30.0
2015-09-06,28.0
2015-09-07,31.0
2015-09-08,31.0
2015-09-09,30.0
2015-09-10,30.0
2015-09-11,31.0
2015-09-12,32.0
2015-09-13,32.0
2015-09-14,32.0
2015-09-15,32.0
2015-09-16,32.0
2015-09-17,31.0
2015-09-18,31.0
2015-09-19,32.0
2015-09-20,31.0
2015-09-21,31.0
2015-09-22,31.0
2015-09-23,31.0
2015-09-24,31.0
2015-09-25,31.0
2015-09-26,38.0
2015-09-27,41.0
2015-09-28,39.0
2015-09-29,38.0
2015-09-30,38.0
2015-10-01,38.0
2015-10-02,38.0
2015-10-03,38.0
2015-10-04,38.0
2015-10-05,38.0
2015-10-06,38.0
2015-10-07,38.0
2015-10-08,38.0
2015-10-09,38.0
2015-10-10,39.0
2015-10-11,38.0
2015-10-12,38.0
2015-10-13,38.0
2015-10-14,38.0
2015-10-15,38.0
2015-10-16,38.0
2015-10-17,36.0
2015-10-18,37.0
2015-10-19,36.0
2015-10-20,35.0
2015-10-21,35.0
2015-10-22,35.0
2015-10-23,35.0
2015-10-24,35.0
2015-10-25,35.0
2015-10-26,38.0
2015-10-27,35.0
2015-10-28,35.0
2015-10-29,35.0
2015-10-30,36.0
2015-10-31,40.0
2015-11-01,36.0
2015-11-02,36.0
2015-11-03,36.0
2015-11-04,35.0
2015-11-05,35.0
2015-11-06,35.0
2015-11-07,35.0
2015-11-08,33.0
2015-11-09,33.0
2015-11-10,33.0
2015-11-11,33.0
2015-11-12,36.0
2015-11-13,36.0
2015-11-14,37.0
2015-11-15,34.0
2015-11-16,34.0
2015-11-17,33.0
2015-11-18,33.0
