Date,Average
07/07/2015,रू २२.००
07/08/2015,रू २२.००
07/09/2015,रू २२.००
07/10/2015,रू २२.००
07/11/2015,रू २१.००
07/12/2015,रू २२.००
07/13/2015,रू २२.००
07/14/2015,रू २२.००
07/15/2015,रू २२.००
07/16/2015,रू २२.००
07/17/2015,रू २३.००
07/18/2015,रू २३.००
07/19/2015,रू २३.००
07/20/2015,रू २४.००
07/21/2015,रू ३५.००
07/22/2015,रू २४.००
07/23/2015,रू २४.००
07/24/2015,रू २४.००
07/25/2015,रू २४.००
07/26/2015,रू २४.००
07/27/2015,रू २४.००
07/28/2015,रू २४.००
07/29/2015,रू २४.००
07/30/2015,रू २५.००
07/31/2015,रू २५.००
08/01/2015,रू २४.००
08/02/2015,रू २५.००
08/03/2015,रू २५.००
08/04/2015,रू २५.००
08/05/2015,रू २५.००
08/06/2015,रू २५.००
08/07/2015,रू २५.००
08/08/2015,रू २५.००
08/09/2015,रू २७.००
08/10/2015,रू २८.००
08/11/2015,रू २८.००
08/12/2015,रू २८.००
08/13/2015,रू २९.००
08/14/2015,रू २७.००
08/15/2015,रू २७.००
08/16/2015,रू २८.००
08/17/2015,रू २८.००
08/18/2015,रू २८.००
08/19/2015,रू ३१.००
08/20/2015,रू ३१.००
08/21/2015,रू ३१.००
08/22/2015,रू ३१.००
08/23/2015,रू ३१.००
08/24/2015,रू ३२.००
08/25/2015,रू ३२.००
08/26/2015,रू ३४.००
08/27/2015,रू ३४.००
08/28/2015,रू ३२.००
08/29/2015,रू २५.००
08/30/2015,रू २७.००
08/31/2015,रू ३५.००
09/01/2015,रू ३५.००
09/02/2015,रू ३५.००
09/03/2015,रू ३०.००
09/04/2015,रू ३१.००
09/05/2015,रू ३०.००
09/06/2015,रू २८.००
09/07/2015,रू ३१.००
09/08/2015,रू ३१.००
09/09/2015,रू ३०.००
09/10/2015,रू ३०.००
09/11/2015,रू ३१.००
09/12/2015,रू ३२.००
09/13/2015,रू ३२.००
09/14/2015,रू ३२.००
09/15/2015,रू ३२.००
09/16/2015,रू ३२.००
09/17/2015,रू ३१.००
09/18/2015,रू ३१.००
09/19/2015,रू ३२.००
09/20/2015,रू ३१.००
09/21/2015,रू ३१.००
09/22/2015,रू ३१.००
09/23/2015,रू ३१.००
09/24/2015,रू ३१.००
09/25/2015,रू ३१.००
09/26/2015,रू ३८.००
09/27/2015,रू ४१.००
09/28/2015,रू ३९.००
09/29/2015,रू ३८.००
09/30/2015,रू ३८.००
10/01/2015,रू ३८.००
10/02/2015,रू ३८.००
10/03/2015,रू ३८.००
10/04/2015,रू ३८.००
10/05/2015,रू ३८.००
10/06/2015,रू ३८.००
10/07/2015,रू ३८.००
10/08/2015,रू ३८.००
10/09/2015,रू ३८.००
10/10/2015,रू ३९.००
10/11/2015,रू ३८.००
10/12/2015,रू ३८.००
10/13/2015,रू ३८.००
10/14/2015,रू ३८.००
10/15/2015,रू ३८.००
10/16/2015,रू ३८.००
10/17/2015,रू ३६.००
10/18/2015,रू ३७.००
10/19/2015,रू ३६.००
10/20/2015,रू ३५.००
10/21/2015,रू ३५.००
10/22/2015,रू ३५.००
10/23/2015,रू ३५.००
10/24/2015,रू ३५.००
10/25/2015,रू ३५.००
10/26/2015,रू ३८.००
10/27/2015,रू ३५.००
10/28/2015,रू ३५.००
10/29/2015,रू ३५.००
10/30/2015,रू ३६.००
10/31/2015,रू ४०.००
11/01/2015,रू ३६.००
11/02/2015,रू ३६.००
11/03/2015,रू ३६.००
11/04/2015,रू ३५.००
11/05/2015,रू ३५.००
11/06/2015,रू ३५.००
11/07/2015,रू ३५.००
11/08/2015,रू ३३.००
11/09/2015,रू ३३.००
11/10/2015,रू ३३.००
11/11/2015,रू ३३.००
11/12/2015,रू ३६.००
11/13/2015,रू ३६.००
11/14/2015,रू ३७.००
11/15/2015,रू ३४.००
11/16/2015,रू ३४.००
11/17/2015,रू ३३.००
11/18/2015,रू ३३.००
11/19/2015,रू २८.००
11/20/2015,रू २६.००
11/21/2015,रू २७.००
11/22/2015,रू २८.००
11/23/2015,रू २८.००
11/24/2015,रू २८.००
11/25/2015,रू २८.००
11/26/2015,रू २८.००
11/27/2015,रू २८.००
11/28/2015,रू २८.००
11/29/2015,रू २८.००
11/30/2015,रू २८.००
12/01/2015,रू २८.००
12/02/2015,रू २८.००
12/03/2015,रू २८.००
12/04/2015,रू २८.००
12/05/2015,रू २७.००
12/06/2015,रू २८.००
12/07/2015,रू २८.००
12/08/2015,रू २८.००
12/09/2015,रू २८.००
12/10/2015,रू २८.००
12/11/2015,रू २८.००
12/12/2015,रू २७.००
12/13/2015,रू २८.००
12/14/2015,रू २८.००
12/15/2015,रू २८.००
12/16/2015,रू २८.००
12/17/2015,रू २८.००
12/18/2015,रू २८.००
12/19/2015,रू २८.००
12/20/2015,रू २८.००
12/21/2015,रू २८.००
12/22/2015,रू २९.००
12/23/2015,रू २८.००
12/24/2015,रू ३५.००
12/25/2015,रू २७.००
12/26/2015,रू २८.००
12/27/2015,रू २८.००
12/28/2015,रू २८.००
12/29/2015,रू २८.००
12/30/2015,रू २८.००
12/31/2015,रू २८.००
01/01/2016,रू २८.००
01/02/2016,रू ३०.००
01/03/2016,रू २९.००
01/04/2016,रू २८.००
01/05/2016,रू २८.००
01/06/2016,रू २८.००
01/07/2016,रू २९.००
01/08/2016,रू २९.००
01/09/2016,रू २८.००
01/10/2016,रू २९.००
01/11/2016,रू २८.००
01/12/2016,रू २८.००
01/13/2016,रू २८.००
01/14/2016,रू २८.००
